UTC_ABS_TIME,CH4,Ar,XX
2005-01-14T09:11:23.312, 0.0141, 0.0, 0.0
2005-01-14T09:11:25.187, 0.0141, 0.0, 0.0
2005-01-14T09:11:27.046, 0.0141, 0.0, 0.0
2005-01-14T09:11:28.921, 0.0141, 0.0, 0.0
2005-01-14T09:11:30.796, 0.0141, 0.0, 0.0
2005-01-14T09:11:32.671, 0.0141, 0.0, 0.0
2005-01-14T09:11:34.546, 0.0141, 0.0, 0.0
2005-01-14T09:11:36.546, 0.0141, 0.0, 0.0
2005-01-14T09:11:38.359, 0.0141, 0.0, 0.0
2005-01-14T09:11:40.234, 0.0141, 0.0, 0.0
2005-01-14T09:11:42.109, 0.0141, 0.0, 0.0
2005-01-14T09:11:43.984, 0.0141, 0.0, 0.0
2005-01-14T09:11:45.828, 0.0141, 0.0, 0.0
2005-01-14T09:11:47.734, 0.0141, 0.0, 0.0
2005-01-14T09:11:49.609, 0.0141, 0.0, 0.0
2005-01-14T09:11:51.609, 0.0141, 0.0, 0.0
2005-01-14T09:11:53.421, 0.0141, 0.0, 0.0
2005-01-14T09:11:55.296, 0.0141, 0.0, 0.0
2005-01-14T09:11:57.171, 0.0141, 0.0, 0.0
2005-01-14T09:11:59.046, 0.0141, 0.0, 0.0
2005-01-14T09:12:00.906, 0.0141, 0.0, 0.0
2005-01-14T09:12:02.750, 0.0141, 0.0, 0.0
2005-01-14T09:12:04.656, 0.0141, 0.0, 0.0
2005-01-14T09:12:06.671, 0.0141, 0.0, 0.0
2005-01-14T09:12:08.468, 0.0141, 0.0, 0.0
2005-01-14T09:12:10.343, 0.0141, 0.0, 0.0
2005-01-14T09:12:12.218, 0.0141, 0.0, 0.0
2005-01-14T09:12:14.093, 0.0141, 0.0, 0.0
2005-01-14T09:12:15.968, 0.0141, 0.0, 0.0
2005-01-14T09:12:17.812, 0.0141, 0.0, 0.0
2005-01-14T09:12:19.718, 0.0141, 0.0, 0.0
2005-01-14T09:12:21.718, 0.0141, 0.0, 0.0
2005-01-14T09:12:23.531, 0.0141, 0.0, 0.0
2005-01-14T09:12:25.406, 0.0141, 0.0, 0.0
2005-01-14T09:12:42.343, 0.0141, 0.0, 0.0
2005-01-14T09:12:44.203, 0.0141, 0.0, 0.0
2005-01-14T09:12:46.078, 0.0141, 0.0, 0.0
2005-01-14T09:12:47.953, 0.0141, 0.0, 0.0
2005-01-14T09:12:49.812, 0.0141, 0.0, 0.0
2005-01-14T09:12:51.828, 0.0141, 0.0, 0.0
2005-01-14T09:12:53.640, 0.0141, 0.0, 0.0
2005-01-14T09:12:55.515, 0.0141, 0.0, 0.0
2005-01-14T09:12:57.390, 0.0141, 0.0, 0.0
2005-01-14T09:12:59.265, 0.0141, 0.0, 0.0
2005-01-14T09:13:01.125, 0.0141, 0.0, 0.0
2005-01-14T09:13:03.015, 0.0141, 0.0, 0.0
2005-01-14T09:13:04.875, 0.0141, 0.0, 0.0
2005-01-14T09:13:06.875, 0.0141, 0.0, 0.0
2005-01-14T09:13:08.703, 0.0142, 0.0, 0.0
2005-01-14T09:13:10.578, 0.0142, 0.0, 0.0
2005-01-14T09:13:12.453, 0.0142, 0.0, 0.0
2005-01-14T09:13:14.328, 0.0142, 0.0, 0.0
2005-01-14T09:13:16.187, 0.0142, 0.0, 0.0
2005-01-14T09:13:18.062, 0.0142, 0.0, 0.0
2005-01-14T09:13:19.921, 0.0142, 0.0, 0.0
2005-01-14T09:13:21.953, 0.0142, 0.0, 0.0
2005-01-14T09:13:23.765, 0.0142, 0.0, 0.0
2005-01-14T09:13:25.640, 0.0142, 0.0, 0.0
2005-01-14T09:13:27.515, 0.0142, 0.0, 0.0
2005-01-14T09:13:29.390, 0.0142, 0.0, 0.0
2005-01-14T09:13:31.265, 0.0142, 0.0, 0.0
2005-01-14T09:13:33.125, 0.0142, 0.0, 0.0
2005-01-14T09:13:35.000, 0.0142, 0.0, 0.0
2005-01-14T09:13:36.984, 0.0142, 0.0, 0.0
2005-01-14T09:13:38.781, 0.0142, 0.0, 0.0
2005-01-14T09:13:40.687, 0.0142, 0.0, 0.0
2005-01-14T09:13:42.562, 0.0142, 0.0, 0.0
2005-01-14T09:13:44.437, 0.0142, 0.0, 0.0
2005-01-14T09:13:46.312, 0.0142, 0.0, 0.0
2005-01-14T09:13:48.187, 0.0142, 0.0, 0.0
2005-01-14T09:13:50.062, 0.0142, 0.0, 0.0
2005-01-14T09:13:52.062, 0.0142, 0.0, 0.0
2005-01-14T09:13:53.875, 0.0142, 0.0, 0.0
2005-01-14T09:13:55.750, 0.0142, 0.0, 0.0
2005-01-14T09:13:57.625, 0.0142, 0.0, 0.0
2005-01-14T09:13:59.500, 0.0142, 0.0, 0.0
2005-01-14T09:14:01.375, 0.0142, 0.0, 0.0
2005-01-14T09:14:03.250, 0.0142, 0.0, 0.0
2005-01-14T09:14:05.125, 0.0142, 0.0, 0.0
2005-01-14T09:14:07.125, 0.0142, 0.0, 0.0
2005-01-14T09:14:08.937, 0.0142, 0.0, 0.0
2005-01-14T09:14:10.812, 0.0142, 0.0, 0.0
2005-01-14T09:14:12.687, 0.0142, 0.0, 0.0
2005-01-14T09:14:14.546, 0.0142, 0.0, 0.0
2005-01-14T09:14:16.421, 0.0142, 0.0, 0.0
2005-01-14T09:14:18.296, 0.0142, 0.0, 0.0
2005-01-14T09:14:20.171, 0.0142, 0.0, 0.0
2005-01-14T09:14:22.187, 0.0142, 0.0, 0.0
2005-01-14T09:14:24.000, 0.0142, 0.0, 0.0
2005-01-14T09:14:25.875, 0.0142, 0.0, 0.0
2005-01-14T09:14:44.671, 0.0142, 0.0, 0.0
2005-01-14T09:14:46.546, 0.0142, 0.0, 0.0
2005-01-14T09:14:48.421, 0.0142, 0.0, 0.0
2005-01-14T09:14:52.296, 0.0142, 0.0, 0.0
2005-01-14T09:14:54.109, 0.0142, 0.0, 0.0
2005-01-14T09:14:55.984, 0.0142, 0.0, 0.0
2005-01-14T09:14:57.828, 0.0142, 0.0, 0.0
